estimated_loc,complexity_score,timeline_days,team_size_required,domain_category,technical_risk_level,integration_count,seniority_required,regulatory_compliance,testing_coverage_pct,documentation_level,performance_tier,security_criticality,budget_pressure,maintainability_req,target_team_label,profit_margin_pct
68443,High,136,9,Infrastructure,Low,2,Senior,1,62.6,Comprehensive,Standard,Medium,Tight,Low,Human,31.58
103625,High,188,8,Security,Low,2,Senior,1,98.0,Standard,Standard,Medium,Moderate,High,Human,25.1
48518,High,160,8,Web,Medium,7,Mid,0,98.0,Standard,High,High,Tight,High,Hybrid,35.63
1894,Low,23,1,Web,High,5,Mid,0,61.8,Standard,Standard,High,Moderate,Medium,Human,50.93
16811,Medium,98,4,Infrastructure,High,8,Architect,1,35.7,Standard,Real-time,Medium,Moderate,Medium,Human,26.75
10627,Medium,69,3,Mobile,High,7,Junior,0,69.1,Minimal,Standard,Medium,Moderate,Low,Hybrid,53.11
2493,Low,21,3,Web,High,3,Senior,0,69.4,Comprehensive,High,Critical,Flexible,High,Human,33.34
6909,Low,45,1,Mobile,High,7,Architect,0,63.1,Comprehensive,High,High,Moderate,High,Human,33.08
4437,Medium,97,5,Data,Medium,2,Junior,0,72.2,Standard,High,Medium,Tight,High,Hybrid,52.77
90638,High,156,7,Security,Critical,11,Mid,1,90.3,Standard,High,High,Moderate,Low,Human,26.72
4092,Medium,81,5,Data,High,9,Junior,0,50.3,Minimal,High,High,Moderate,High,Human,50.87
2445,Low,18,1,Infrastructure,Medium,4,Senior,1,52.0,Standard,High,Medium,Moderate,Medium,Hybrid,42.36
14057,Medium,90,3,Web,High,5,Senior,0,62.6,Standard,High,Medium,Moderate,High,Hybrid,37.51
1771,Low,69,1,Infrastructure,High,10,Mid,1,48.2,Comprehensive,Standard,Critical,Tight,Medium,Human,43.9
19213,Medium,100,3,Data,Medium,2,Junior,0,54.9,Comprehensive,High,Medium,Tight,High,Hybrid,51.6
18108,Medium,91,5,Data,Critical,3,Senior,0,60.7,Comprehensive,High,Critical,Tight,Low,Human,33.29
15561,Medium,59,4,Web,High,6,Senior,0,85.9,Standard,High,Low,Tight,High,Hybrid,38.57
1327,Low,40,1,Web,High,9,Junior,0,61.4,Comprehensive,Standard,Low,Moderate,Medium,Hybrid,56.2
112496,High,133,7,Mobile,High,4,Senior,0,56.1,Comprehensive,Real-time,High,Flexible,Medium,Human,18.07
13793,Medium,61,3,Mobile,Low,1,Mid,0,53.5,Standard,Real-time,High,Flexible,High,Hybrid,43.18
3660,Low,32,1,Infrastructure,High,7,Senior,1,28.4,Comprehensive,High,High,Tight,Medium,Human,40.46
112285,High,147,9,Security,Medium,2,Mid,0,85.6,Standard,High,Medium,Moderate,Low,Human,38.72
24082,Medium,104,4,Data,Critical,11,Senior,1,88.0,Minimal,High,Low,Tight,High,Human,36.69
14651,Medium,110,6,Web,Critical,7,Senior,0,73.2,Minimal,Standard,High,Moderate,Medium,Human,35.9
7532,Low,7,1,Data,High,10,Junior,0,37.2,Standard,Standard,High,Tight,Medium,Human,58.58
14599,Medium,86,4,Web,Medium,1,Senior,0,65.5,Standard,Standard,Critical,Tight,High,Hybrid,38.74
8991,Medium,85,3,Web,Low,1,Senior,0,67.7,Standard,Standard,Low,Moderate,Medium,Hybrid,45.96
46889,High,178,6,Security,Low,5,Senior,1,50.2,Comprehensive,Standard,Medium,Moderate,High,Hybrid,29.21
53480,High,137,8,Web,High,4,Senior,0,54.5,Minimal,High,Low,Tight,Medium,Hybrid,38.19
132258,High,161,10,Security,Medium,6,Junior,1,92.1,Standard,Real-time,Medium,Moderate,High,Human,33.72
5776,Medium,123,5,Infrastructure,Low,3,Mid,0,50.5,Standard,Standard,Low,Flexible,Low,Hybrid,46.06
12110,Medium,81,4,Web,Low,2,Mid,0,54.1,Standard,Standard,Low,Flexible,Low,Hybrid,50.14
9542,Medium,113,5,Infrastructure,Medium,7,Architect,0,77.7,Minimal,High,High,Flexible,High,Hybrid,25.99
74339,High,154,8,Security,Low,0,Junior,0,69.3,Comprehensive,High,Low,Flexible,Medium,Human,45.89
1072,Low,7,1,Web,Medium,2,Mid,0,63.8,Minimal,High,High,Flexible,High,Hybrid,51.37
46109,High,141,7,Web,Medium,4,Mid,0,67.5,Comprehensive,Standard,Medium,Tight,Low,Hybrid,43.06
895,Low,37,1,Data,Medium,3,Mid,0,66.4,Standard,High,High,Moderate,High,Hybrid,51.08
9634,Medium,60,7,Data,High,8,Mid,1,97.0,Comprehensive,High,High,Tight,Medium,Human,34.82
7403,Medium,106,5,Web,High,5,Junior,0,70.1,Standard,High,Critical,Tight,Medium,Human,45.92
30176,Medium,84,1,Data,Medium,8,Mid,0,83.1,Comprehensive,High,Low,Tight,Medium,Hybrid,49.39
7204,Medium,68,6,Web,Low,3,Senior,0,58.0,Comprehensive,Standard,Low,Moderate,High,Hybrid,37.24
51487,High,170,9,Security,High,7,Mid,1,61.2,Comprehensive,Real-time,High,Tight,High,Human,30.56
14616,High,170,8,Security,Low,3,Senior,1,71.2,Standard,High,High,Moderate,Low,Hybrid,29.97
8053,Medium,133,4,Data,Medium,2,Mid,0,48.7,Standard,Real-time,High,Tight,Medium,Hybrid,44.87
9591,Medium,79,3,Web,Low,2,Senior,1,82.5,Standard,Real-time,Medium,Tight,Low,Hybrid,39.73
63783,High,150,7,Web,Medium,2,Senior,0,75.9,Minimal,High,Medium,Tight,Low,Human,37.02
19597,Medium,109,8,Infrastructure,Critical,8,Mid,0,29.6,Minimal,Real-time,Low,Tight,Medium,Human,44.29
2910,Low,33,2,Data,Low,0,Junior,1,45.4,Standard,High,High,Moderate,High,Hybrid,57.18
10268,Medium,119,3,Mobile,High,6,Senior,1,98.0,Standard,Standard,High,Tight,Low,Human,38.26
12124,Medium,57,8,Data,High,5,Mid,1,64.8,Standard,Real-time,High,Moderate,High,Human,34.1
10923,Medium,87,5,Infrastructure,High,6,Mid,0,36.4,Standard,High,Medium,Flexible,High,Hybrid,38.93
1655,Low,46,3,Data,Critical,7,Architect,1,48.1,Standard,High,High,Flexible,High,Human,28.45
11462,Medium,71,4,Infrastructure,Low,3,Junior,0,68.2,Comprehensive,Standard,Low,Moderate,Medium,Hybrid,51.29
1777,Low,37,3,Data,Low,0,Junior,1,78.4,Standard,High,Critical,Flexible,High,Human,50.25
45352,High,145,9,Web,Low,3,Senior,0,65.2,Minimal,High,Low,Moderate,High,Hybrid,35.63
1672,Low,19,3,Security,Medium,3,Senior,1,46.4,Standard,Standard,Low,Tight,Medium,Hybrid,46.53
1786,Low,7,1,Security,High,7,Senior,1,60.5,Minimal,Real-time,Low,Moderate,Low,Human,45.21
16154,Medium,105,4,Infrastructure,High,6,Senior,1,76.2,Standard,Real-time,Medium,Moderate,High,Human,30.27
20873,Medium,123,1,Data,High,7,Mid,1,72.7,Comprehensive,Standard,Medium,Moderate,Low,Human,40.56
1469,Low,53,1,Security,Medium,4,Senior,1,34.5,Comprehensive,Standard,Low,Flexible,Medium,Hybrid,43.52
2300,Low,33,1,Web,High,9,Mid,0,72.3,Standard,Standard,Low,Tight,High,Hybrid,52.63
1980,Low,60,1,Infrastructure,Critical,9,Mid,1,56.3,Comprehensive,Standard,Medium,Moderate,Medium,Human,46.27
2638,Low,69,3,Data,Low,0,Mid,0,42.7,Comprehensive,High,Low,Moderate,Medium,AI,50.35
2176,Low,37,3,Security,Low,3,Junior,0,64.7,Standard,Real-time,High,Tight,Low,AI,60.21
28586,High,177,10,Data,Medium,2,Junior,0,63.7,Comprehensive,High,Critical,Flexible,Medium,Human,35.58
2397,Low,32,2,Infrastructure,High,7,Senior,0,71.2,Minimal,High,Low,Moderate,Medium,Hybrid,45.5
7461,Medium,105,4,Data,Medium,6,Mid,1,82.9,Minimal,High,Low,Moderate,High,Hybrid,44.51
50371,High,181,8,Data,High,6,Senior,1,50.4,Standard,High,Critical,Moderate,Low,Human,23.67
11794,Medium,78,8,Web,Low,1,Senior,0,56.9,Standard,Standard,High,Tight,Medium,Hybrid,42.27
13068,Medium,60,3,Data,High,3,Mid,0,91.0,Minimal,High,Medium,Moderate,Low,Hybrid,46.76
78112,High,178,6,Data,Low,2,Mid,0,76.7,Standard,Standard,Low,Tight,Low,Human,46.9
63540,High,146,7,Infrastructure,High,7,Mid,1,92.4,Minimal,High,Low,Moderate,Low,Human,36.94
